symbolic option
"episod = 0, Step = 19, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 0, Step = 19, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 0, Step = 4, reach goal when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 0, Step = 1, reach goal when r1AtLever r2PassMid -> r1AnyPos(NotLocal) r2UpPart"
"episod = 0, Step = 65, failed when r1AnyPos r2UpPart -> r1AnyPos(NotLocal) r2GetTreasure"
"episod = 1, Step = 14, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 1, Step = 8, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 2, Step = 9, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 2, Step = 9, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 2, Step = 20, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 3, Step = 24, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 3, Step = 1, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 4, Step = 17, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 4, Step = 17, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 4, Step = 52, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 5, Step = 7, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 6, Step = 9, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 7, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 7, Step = 38, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 7, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 7, Step = 108, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 8, Step = 12, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 8, Step = 12, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 8, Step = 56, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
