symbolic option
"episod = 0, Step = 27, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 0, Step = 27, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 0, Step = 27, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 1, Step = 10, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 1, Step = 72, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 2, Step = 14, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 2, Step = 93, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 3, Step = 6, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 3, Step = 12, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 4, Step = 29, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 4, Step = 29, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 4, Step = 601, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 5, Step = 21, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 5, Step = 25, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 6, Step = 10, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 6, Step = 21, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 7, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 7, Step = 32, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 8, Step = 20, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 8, Step = 4, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 8, Step = 109, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 9, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 9, Step = 11, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 10, Step = 24, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 10, Step = 24, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 10, Step = 222, reach goal when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 10, Step = 18, reach goal when r1AtLever r2PassMid -> r1AnyPos(NotLocal) r2UpPart"
"episod = 10, Step = 27, failed when r1AnyPos r2UpPart -> r1AnyPos(NotLocal) r2GetTreasure"
"episod = 11, Step = 18, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 11, Step = 56, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 12, Step = 10, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 12, Step = 34, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 13, Step = 28, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 13, Step = 6, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 14, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 14, Step = 25, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 15, Step = 19, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 15, Step = 23, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 16, Step = 7, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 16, Step = 18, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 17, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 17, Step = 23, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 18, Step = 21, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 18, Step = 21, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 18, Step = 242, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 19, Step = 27, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 19, Step = 4, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 19, Step = 13, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 19, Step = 47, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 20, Step = 16, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 20, Step = 21, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 21, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 21, Step = 13, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 22, Step = 30, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 23, Step = 19, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 23, Step = 3, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 24, Step = 21, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 24, Step = 13, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 25, Step = 12, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 25, Step = 4, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 26, Step = 10, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 26, Step = 1, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 26, Step = 4, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 26, Step = 45, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 27, Step = 19, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 27, Step = 8, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 28, Step = 10, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 28, Step = 24, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 28, Step = 3, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 28, Step = 69, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 29, Step = 34, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 29, Step = 23, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 30, Step = 16, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 30, Step = 19, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 31, Step = 8, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 31, Step = 16, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 31, Step = 4, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 31, Step = 22, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 32, Step = 27, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 32, Step = 28, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 33, Step = 6, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 33, Step = 60, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 34, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 34, Step = 1, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 35, Step = 19, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 35, Step = 7, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 36, Step = 18, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 36, Step = 37, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 36, Step = 4, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 36, Step = 9, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 37, Step = 9, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 37, Step = 8, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 38, Step = 14, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 38, Step = 52, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 39, Step = 10, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 39, Step = 29, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 40, Step = 16, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 40, Step = 10, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 41, Step = 9, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 41, Step = 8, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 41, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 41, Step = 2, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 42, Step = 9, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
